CODE_COURS;DESCRIPTION;COEFFICIENT;CODE_PROF;SUPPORT
CP1;Maquetter une application;1;2;0
CP2;Réaliser une interface utilisateur web statique et adaptable;2;4;0
CP3;Développer une interface utilisateur web dynamique;3;3;0
CP4;Réaliser une interface utilisateur avec une solution de gestion de contenu ou e-commerce;1;2;0
CP5;Créer une base de données;1;4;0
CP6;Développer les composants d'accès aux données;2;4;0
CP7;Développer la partie back-end d'une application web ou web mobile;3;3;0
CP8;Elaborer et mettre en oeuvre des composants dans une application de gestion de contenu ou e-commerce;2;1;0
TRE;Technique de Recherche d'Emploi;1;5;0
PRJ;Gestion du projet final;3;1;0